type,資料來源,鄉鎮市區,建案名稱,戶數,首交易,末交易,建坪_中位,每坪單價_萬_中位,每坪單價_萬_最低,每坪單價_萬_最高,總價_萬_中位,門牌樣本,棟號樣本,備註樣本,建物型態,主要建材,解約筆數,focus_target
own_track_record,業主提供(591×政府實登),礁溪鄉,玉田森活1期,30,2022-11,2024-09,44.2,20.8,19.8,25.1,930,礁溪鄉玉田村踏踏一路196巷,,透天3層/4房/前院停車/2年完銷/富彥設計,透天厝,櫻花廚具TOTO,0,False
own_track_record,業主提供(591),礁溪鄉,玉田森活2,14,,2026,67.5,22.0,22.0,22.0,1513,礁溪鄉玉田村踏踏二路,,透天4層/4房/建材升級/已完銷/富彥設計,透天厝,櫻花TOTO大理石磚實木門,0,False
own_track_record,業主提供(591),五結鄉,學進賦,10,,2020,29.5,19.9,19.9,19.9,587,五結鄉中正路三段175巷18弄,,公寓5層/平面2機械8車位/已完銷,公寓,,0,False
presale_project,MOI實價登錄(預售屋),五結鄉,鳳凰愛買-第12期,29,2024-05-19,2025-05-22,43.2,21.0,19.7,24.0,912,宜蘭縣五結鄉下福東路,A棟8號;A棟7號;A棟10號;A棟15號;A棟9號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,沐四季,19,2025-03-16,2025-09-06,49.1,24.4,23.6,25.8,1202,宜蘭縣五結鄉孝威路,E8棟0號;E7棟;E1棟;E2棟;E3棟,,透天厝,鋼筋混凝土造,1,True
presale_project,MOI實價登錄(預售屋),五結鄉,吉帝富貴第5期,16,2024-07-15,2025-07-03,45.4,19.8,19.8,21.4,900,宜蘭縣五結鄉大吉一路325巷,A棟7號;A棟2號;B棟6號;A棟3號;A棟6號,,透天厝,鋼筋混凝土造,1,True
presale_project,MOI實價登錄(預售屋),五結鄉,光隱13,11,2024-08-19,2026-04-08,82.1,35.0,34.0,35.1,2830,宜蘭縣五結鄉三吉一路230巷,L棟0號;M棟0號;J棟0號;K棟0號;C棟0號,交易總價包含大吉三段445、501、568、568-1地號等四筆農地持分，交易價款共新台幣350萬元。,透天厝,鋼筋混凝土造,1,True
presale_project,MOI實價登錄(預售屋),五結鄉,青庭孝威,7,2025-04-01,2026-03-17,42.9,25.2,22.9,26.1,1080,宜蘭縣五結鄉大眾二路,A1棟0號;A2棟0號;A3棟0號;A5棟0號;B3棟0號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,富登新13,5,2024-07-10,2024-08-31,60.8,20.3,20.2,20.6,1235,宜蘭縣五結鄉三吉一路,B棟2號;A棟2號;A棟3號;A棟5號;B棟3號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,錦草築青別墅,5,2024-12-08,2025-12-25,50.3,24.9,24.9,25.7,1250,宜蘭縣五結鄉溪濱路二段41巷,F棟0號;C棟0號;B棟0號;E棟0號;G棟0號,,透天厝,鋼筋混凝土造,1,True
presale_project,MOI實價登錄(預售屋),五結鄉,東馨墅2,4,2024-12-15,2026-01-30,50.2,22.7,21.5,24.0,1140,宜蘭縣五結鄉錦草二路,E棟0號;H棟0號;C棟0號;D棟0號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,富森?透天,3,2024-12-24,2025-01-16,58.0,32.4,32.0,34.0,1858,宜蘭縣五結鄉二結村中正路三段47巷10弄,A棟3號;A棟1號;A棟5號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,文創之星,2,2024-09-22,2024-09-29,53.9,32.1,30.3,34.0,1730,宜蘭縣五結鄉中正路一段35巷,A5號;A1號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,日初想享,2,2025-04-16,2025-04-16,51.1,27.2,26.7,27.7,1388,宜蘭縣五結鄉溪濱路一段,E棟0號;F棟0號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,大吉築青別墅,1,2024-05-14,2024-05-14,60.8,22.9,22.9,22.9,1390,宜蘭縣五結鄉大吉五路290巷,A棟16號,,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,水岸帝堡,1,2024-06-18,2024-06-18,130.1,30.0,30.0,30.0,3900,宜蘭縣五結鄉利澤西路,A棟4號,買受人解約，換購A4。交易總價含下列非屬預售屋價格之費用:提貨券費:300000元,透天厝,鋼筋混凝土造,0,True
presale_project,MOI實價登錄(預售屋),五結鄉,藏鉅,1,2025-01-19,2025-01-19,83.3,31.2,31.2,31.2,2598,宜蘭縣五結鄉國民中路,D棟12號,,透天厝,鋼筋混凝土造,0,True
